year,month,date_of_month,day_of_week,births
2000,1,1,6,9083
2000,1,2,7,8006
2000,1,3,1,11363
2000,1,4,2,13032
2000,1,5,3,12558
2000,1,6,4,12466
2000,1,7,5,12516
2000,1,8,6,8934
2000,1,9,7,7949
2000,1,10,1,11668
2000,1,11,2,12611
2000,1,12,3,12398
2000,1,13,4,11815
2000,1,14,5,12180
2000,1,15,6,8525
2000,1,16,7,7657
2000,1,17,1,10824
2000,1,18,2,12350
2000,1,19,3,12405
2000,1,20,4,12506
2000,1,21,5,11953
2000,1,22,6,8855
2000,1,23,7,7856
2000,1,24,1,11449
2000,1,25,2,12593
2000,1,26,3,12143
2000,1,27,4,12408
2000,1,28,5,11934
2000,1,29,6,8805
2000,1,30,7,7764
2000,1,31,1,11133
2000,2,1,2,12614
2000,2,2,3,12465
2000,2,3,4,12062
2000,2,4,5,12035
2000,2,5,6,8624
2000,2,6,7,7862
2000,2,7,1,11630
2000,2,8,2,12879
2000,2,9,3,12315
2000,2,10,4,12612
2000,2,11,5,12411
2000,2,12,6,8836
2000,2,13,7,7933
2000,2,14,1,12152
2000,2,15,2,13017
2000,2,16,3,12504
2000,2,17,4,12520
2000,2,18,5,12406
2000,2,19,6,8861
2000,2,20,7,7943
2000,2,21,1,10610
2000,2,22,2,12664
2000,2,23,3,12252
2000,2,24,4,12423
2000,2,25,5,12204
2000,2,26,6,9026
2000,2,27,7,7836
2000,2,28,1,11455
2000,2,29,2,11895
2000,3,1,3,12672
2000,3,2,4,12524
2000,3,3,5,12390
2000,3,4,6,9054
2000,3,5,7,7734
2000,3,6,1,11375
2000,3,7,2,12420
2000,3,8,3,12338
2000,3,9,4,12615
2000,3,10,5,12152
2000,3,11,6,8822
2000,3,12,7,7937
2000,3,13,1,11157
2000,3,14,2,12773
2000,3,15,3,12428
2000,3,16,4,12431
2000,3,17,5,12385
2000,3,18,6,8677
2000,3,19,7,7782
2000,3,20,1,11595
2000,3,21,2,12689
2000,3,22,3,12272
2000,3,23,4,12396
2000,3,24,5,12327
2000,3,25,6,9155
2000,3,26,7,7815
2000,3,27,1,11291
2000,3,28,2,12650
2000,3,29,3,12077
2000,3,30,4,12071
2000,3,31,5,11820
2000,4,1,6,8388
2000,4,2,7,7540
2000,4,3,1,11397
2000,4,4,2,12797
2000,4,5,3,12209
2000,4,6,4,12192
2000,4,7,5,12213
2000,4,8,6,8743
2000,4,9,7,7759
